ID	blink_time
8	430.816
8	431.818
8	431.957
8	433.194
8	433.472
8	434.57
8	435.157
8	436.512
8	436.597
8	438.453
8	439.114
8	440.853
8	442.912
8	443.733
8	443.978
8	444.32
8	445.44
8	445.674
8	448.597
8	448.714
8	449.77
8	450.24
8	450.976
8	451.573
8	452.437
8	455.039
8	456.597
8	458.794
8	458.997
8	460.298
8	461.397
8	462.293
8	462.858
8	463.136
8	463.53
8	464.256
8	464.736
8	465.034
8	465.898
8	467.04
8	467.658
8	468
8	468.96
8	469.397
8	474.719
8	475.85
8	479.37
8	483.818
8	486.41
8	487.978
8	492.512
8	495.413
8	497.599
8	498.037
8	499.733
8	501.792
8	502.24
8	504.138
8	507.455
8	509.152
8	509.173
8	512.192
8	513.354
8	514.954
8	516.458
8	517.653
8	518.197
8	519.21
8	520.373
8	521.312
8	523.413
8	524.277
8	524.97
8	525.717
8	527.594
8	527.712
8	528.672
8	530.08
8	531.05
8	532.554
8	533.674
8	535.84
8	537.877
8	538.837
8	540.01
8	540.16
8	540.96
8	542.25
8	542.4
8	543.84
8	543.84
8	546.4
8	549.152
8	552.458
8	552.96
8	554.496
8	557.258
8	558.453
8	559.04
8	559.52
8	560.458
8	563.391
8	564.853
8	564.874
8	570.517
8	570.954
8	574.293
8	574.432
8	575.477
8	576.415
8	578.816
8	581.738
8	582.656
8	583.84
8	584.394
8	585.194
8	586.634
8	586.698
8	587.53
8	588.053
8	590.271
8	592.17
8	592.352
8	595.114
8	595.957
8	596.117
8	598.24
8	598.357
8	600.96
8	603.616
8	606.997
8	608.917
8	609.792
8	612.832
8	615.776
8	616.49
8	616.853
8	619.178
8	622.133
8	622.72
8	623.872
8	624.138
8	625.717
8	627.21
8	628.64
8	632.458
8	632.896
8	633.653
8	634.453
8	634.538
8	634.837
8	635.733
8	636.234
8	636.736
8	636.757
8	636.96
8	637.653
9	3.093
9	4.896
9	8.096
9	11.616
9	14.976
9	42.592
9	50.272
9	52.938
9	60.575
9	60.736
9	60.917
9	64.874
9	70.933
9	72.298
9	73.258
9	76.896
9	82.25
9	96.416
9	102.997
9	123.893
9	132.352
9	143.712
9	191.84
9	207.498
9	220.16
9	224.16
9	229.333
9	230.272
9	233.13
9	233.194
9	236.693
9	238.837
9	242.57
9	247.679
9	247.754
9	248.693
9	282.058
9	298.73
9	340.853
9	347.68
9	362.954
9	368.597
9	373.397
9	396.256
9	416.8
9	420.32
9	420.8
9	424.992
9	452.576
9	464.597
9	466.496
9	468.352
9	498.538
9	503.754
9	541.536
9	551.658
9	569.45
9	575.295
9	578.538
9	585.536
9	598.538
9	607.818
9	615.52
9	624.49
9	627.872
9	633.29
9	633.898
9	634.24
10	1.418
10	1.696
10	3.21
10	3.893
10	4.415
10	5.311
10	5.792
10	5.973
10	6.389
10	6.976
10	7.178
10	7.455
10	7.967
10	13.28
10	15.36
10	16.159
10	16.469
10	16.832
10	18.08
10	18.357
10	19.21
10	20.394
10	20.959
10	21.631
10	22.997
10	23.594
10	24.213
10	27.253
10	28.255
10	28.49
10	29.055
10	29.791
10	29.866
10	31.818
10	32.874
10	33.077
10	33.834
10	34.56
10	35.114
10	35.989
10	36.533
10	38.656
10	38.997
10	39.936
10	41.098
10	42.858
10	43.552
10	44.074
10	45.215
10	45.471
10	45.557
10	46.869
10	48.277
10	49.61
10	51.413
10	51.775
10	55.477
10	56.16
10	57.44
10	58.837
10	59.968
10	60.97
10	61.578
10	64.458
10	65.696
10	67.029
10	68.074
10	68.512
10	68.853
10	69.173
10	69.994
10	70.858
10	72.896
10	73.898
10	74.399
10	76.49
10	76.693
10	76.757
10	77.749
10	77.813
10	78.826
10	78.954
10	79.669
10	80.032
10	80.053
10	81.29
10	81.792
10	82.112
10	82.314
10	82.911
10	83.114
10	85.631
10	86.517
10	86.911
10	87.36
10	88.714
10	89.173
10	89.408
10	93.237
10	94.997
10	97.034
10	98.24
10	99.178
10	100.49
10	101.738
10	102.773
10	103.071
10	104.01
10	105.13
10	107.093
10	108.672
10	108.81
10	109.226
10	110.752
10	111.754
10	112
10	112.213
10	113.898
10	115.072
10	116.49
10	119.199
10	120.607
10	121.813
10	123.36
10	124.074
10	124.938
10	125.194
10	125.258
10	126.314
10	127.679
10	129.077
10	131.178
10	133.077
10	133.973
10	136.352
10	136.714
10	139.498
10	139.775
10	140.053
10	140.33
10	141.973
10	142.154
10	142.453
10	143.637
10	143.968
10	144.256
10	144.81
10	145.013
10	145.856
10	148.49
10	148.533
10	149.578
10	149.834
10	152.394
10	155.157
10	155.498
10	156.81
10	157.248
10	159.05
10	160.32
10	161.152
10	161.429
10	162.357
10	163.498
10	163.648
10	164.287
10	164.799
10	165.973
10	167.178
10	169.173
10	170.314
10	170.41
10	171.616
10	171.637
10	171.872
10	173.877
10	175.232
10	176.533
10	176.949
10	177.173
10	179.573
10	180.33
10	181.173
10	182.09
10	182.89
10	183.114
10	183.2
10	184.778
10	185.386
10	185.653
10	185.952
10	186.794
10	188.277
10	189.472
10	189.696
10	190.09
10	190.752
10	191.53
10	191.84
10	193.098
10	194.495
10	194.751
10	194.869
10	196.672
10	196.896
10	198.186
10	199.018
10	199.04
10	199.53
10	202.357
10	202.378
10	202.634
10	202.73
10	202.816
10	204.81
10	205.12
10	205.418
10	205.653
10	205.877
10	206.591
10	209.215
10	209.61
10	209.834
10	210.08
10	210.453
10	211.669
10	212.789
10	213.749
10	214.357
10	215.072
10	215.477
10	215.53
10	216.256
10	216.437
10	216.608
10	216.714
10	217.215
10	217.578
10	217.589
10	217.93
10	218.239
10	218.57
10	221.674
10	222.112
10	223.072
10	224.17
10	224.949
10	225.738
10	226.517
10	227.968
10	229.034
10	229.13
10	231.626
10	231.935
10	232.714
10	233.269
10	234.751
10	235.69
10	236.192
10	236.832
10	237.472
10	238.079
10	238.517
10	239.69
10	239.754
10	240.373
10	240.576
10	241.258
10	241.578
10	244.352
10	244.49
10	248.992
10	249.493
10	249.589
10	251.712
10	252.106
10	253.877
10	256.533
10	257.077
10	257.418
10	258.133
10	258.41
10	258.794
10	261.717
10	262.453
10	263.712
10	265.034
10	266.293
10	267.178
10	270.09
10	271.232
10	273.13
10	274.293
10	275.434
10	276.106
10	278.293
10	279.168
10	279.274
10	280.437
10	280.512
10	281.813
10	283.072
10	283.456
10	285.632
10	288.256
10	289.013
10	292.49
10	292.746
10	293.717
10	294.058
10	294.112
10	295.733
10	298.517
10	299.146
10	299.616
10	302.24
10	302.346
10	303.733
10	305.994
10	307.413
10	308.853
10	309.13
10	309.834
10	310.527
10	310.933
10	312.106
10	312.234
10	313.109
10	313.216
10	314.133
10	314.976
10	315.232
10	315.274
10	315.477
10	316.17
10	317.333
10	319.573
10	320.298
10	322.389
10	322.634
10	323.029
10	325.194
10	325.834
10	327.232
10	327.413
10	328.928
10	331.456
10	331.669
10	333.077
10	333.429
10	333.695
10	334.048
10	334.752
10	334.954
10	336.373
10	337.226
10	337.674
10	338.794
10	339.872
10	340.437
10	340.757
10	340.81
10	341.653
10	342.634
10	342.656
10	343.072
10	343.968
10	345.13
10	345.194
10	346.208
10	346.56
10	346.858
10	348.917
10	349.386
10	350.218
10	350.496
10	353.493
10	356.213
10	356.746
10	357.994
10	359.498
10	360.138
10	362.272
10	363.029
10	363.434
10	366.133
10	366.314
10	367.573
10	367.658
10	367.893
10	368.298
10	371.093
10	371.392
10	371.754
10	372.17
10	372.874
10	373.312
10	376.213
10	376.714
10	377.056
10	377.514
10	378.058
10	378.229
10	379.616
10	379.914
10	381.173
10	382.634
10	382.666
10	383.648
10	384.49
10	385.056
10	385.312
10	386.016
10	388.416
10	389.877
10	391.434
10	393.29
10	394.154
10	394.72
10	394.976
10	396
10	396.298
10	397.898
10	398.496
10	401.109
10	401.173
10	405.536
10	406.389
10	407.936
10	408.469
10	408.992
10	409.888
10	410.218
10	411.498
10	412.33
10	413.695
10	413.717
10	414.368
10	414.752
10	415.2
10	416.33
10	417.696
10	419.093
10	419.253
10	420.117
10	420.917
10	421.109
10	422.133
10	423.072
10	423.36
10	424.352
10	424.672
10	425.472
10	426.111
10	426.41
10	427.989
10	428.874
10	429.973
10	431.21
10	431.21
10	432.895
10	433.45
10	433.877
10	434.218
10	436.49
10	438.336
10	441.29
10	442.069
10	443.253
10	444.138
10	444.17
10	445.152
10	446.336
10	446.634
10	448.33
10	448.895
10	449.13
10	449.493
10	450.229
10	451.114
10	451.392
10	451.829
10	452.437
10	453.93
10	454.154
10	455.551
10	455.754
10	456.49
10	456.778
10	457.429
10	458.133
10	458.41
10	458.954
10	460.554
10	461.258
10	461.354
10	462.112
10	462.549
10	463.434
10	463.637
10	464.416
10	464.81
10	464.895
10	465.152
10	465.44
10	465.792
10	466.272
10	466.954
10	467.733
10	467.946
10	469.29
10	469.61
10	470.09
10	472.672
10	472.81
10	473.354
10	474.207
10	474.677
10	476.256
10	476.479
10	477.066
10	477.578
10	477.653
10	479.53
10	480.266
10	481.973
10	482.773
10	483.914
10	484.512
10	484.533
10	485.6
10	485.834
10	488.213
10	490.933
10	491.797
10	493.376
10	493.514
10	494.069
10	494.933
10	495.296
10	495.69
10	496.81
10	497.429
10	497.695
10	497.77
10	498.816
10	499.413
10	499.626
10	500.01
10	500.789
10	501.674
10	502.015
10	502.496
10	502.73
10	502.954
10	503.754
10	505.749
10	506.378
10	507.178
10	508.576
10	508.789
10	508.853
10	509.61
10	510.592
10	510.592
10	510.976
10	511.616
10	512.373
10	512.554
10	513.674
10	513.727
10	514.453
10	514.912
10	515.391
10	515.616
10	516.032
10	516.768
10	517.354
10	517.439
10	518.613
10	519.295
10	520.256
10	521.717
10	521.813
10	522.474
10	523.85
10	524.608
10	524.736
10	525.312
10	526.752
10	526.89
10	527.2
10	527.466
10	530.592
10	532.213
10	533.717
10	534.496
10	534.592
10	535.936
10	536.309
10	536.97
10	537.429
10	538.09
10	538.496
10	539.573
10	540.053
10	540.778
10	540.992
10	541.813
10	542.069
10	542.453
10	542.72
10	543.029
10	543.2
10	544.533
10	545.088
10	547.008
10	547.872
10	549.077
10	550.271
10	551.616
10	553.248
10	553.674
10	554.25
10	554.72
10	556.352
10	557.055
10	557.386
10	557.973
10	559.093
10	559.317
10	560.992
10	562.816
10	562.933
10	564.437
10	564.608
10	564.778
10	565.408
10	565.834
10	566.57
10	566.976
10	568.458
10	569.098
10	570.933
10	572.576
10	573.834
10	574.016
10	575.093
10	575.36
10	575.456
10	576.33
10	578.229
10	578.432
10	579.114
10	580.693
10	581.546
10	581.557
10	582.453
10	582.453
10	583.573
10	584.693
10	585.13
10	585.418
10	586.112
10	586.752
10	586.997
10	587.253
10	587.712
10	588.01
10	588.512
10	589.247
10	589.29
10	589.92
10	592.16
10	592.853
10	593.056
10	594.816
10	595.05
10	595.232
10	595.989
10	596.576
10	597.152
10	597.472
10	598.314
10	598.752
10	599.456
10	599.818
10	600.853
10	601.056
10	604.192
10	605.13
10	605.674
10	607.05
10	607.253
10	607.594
10	608.319
10	609.61
10	609.877
10	610.528
10	610.698
10	612.64
10	614.538
10	615.498
10	616.096
10	616.832
10	617.066
10	617.813
10	617.93
10	618.816
10	619.36
10	621.333
10	622.133
10	622.912
10	623.893
10	625.312
10	627.456
10	627.776
10	628.693
10	628.789
10	629.856
10	629.92
10	633.013
10	633.45
10	634.314
10	635.872
10	636.874
11	19.872
11	46.239
11	81.45
11	81.856
11	93.418
11	114.133
11	115.413
11	116.394
11	127.594
11	146.954
11	161.173
11	163.53
11	164.917
11	169.738
11	172.16
11	201.194
11	223.53
11	240.672
11	255.232
11	256.65
11	258.24
11	265.578
11	316.074
11	316.832
11	318.197
11	320.096
11	341.376
11	363.893
11	376.757
11	416.64
11	417.856
